player_name,fantasy_score,player_team,venue,batting_first_team,bowling_first_team
GJ Maxwell,61,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
DAJ Bracewell,104,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
SS Tiwary,1,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
UT Yadav,0,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
NV Ojha,37,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
AJ Finch,28,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
DL Vettori,26,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
S Nadeem,25,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
R Vinay Kumar,19,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
V Kohli,15,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
Z Khan,58,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
IK Pathan,32,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
CA Pujara,18,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
AB McDonald,61,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
V Sehwag,0,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
"HV Patel, AB de Villiers",14,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
Y Nagar,34,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
HV Patel,8,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
Y Venugopal Rao,17,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils
MS Dhoni,33,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers
MS Gony,4,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers
M Vijay,2,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers
DJ Harris,26,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers
JA Morkel,6,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers
CL White,27,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers
DW Steyn,55,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Deccan Chargers
