player_name,fantasy_score,player_team,venue,batting_first_team,bowling_first_team
R Bhatia,88,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
"TL Suman, AT Rayudu",14,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
MK Tiwary,50,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
SL Malinga,25,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
JH Kallis,65,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
G Gambhir,16,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
TL Suman,11,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
RG Sharma,11,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
AT Rayudu,31,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
AN Ahmed,99,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
Harbhajan Singh,43,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
RN ten Doeschate,21,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
L Balaji,33,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
KA Pollard,43,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,Mumbai Indians
MS Dhoni,34,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
M Vijay,14,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
CH Gayle,8,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
JA Morkel,35,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
DE Bollinger,41,Chennai Super Kings,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
MA Agarwal,29,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings
